"query";"cluster";"target";"intent";"priority";"frequency";"status";"topicSource"
"косметический ремонт цена за м2 нижний новгород";"Косметический ремонт";"/kosmeticheskiy-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kosmeticheskiy-remont"
"обновление отделки квартиры нижний новгород";"Косметический ремонт";"/kosmeticheskiy-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kosmeticheskiy-remont"
"косметический ремонт под ключ нижний новгород";"Косметический ремонт";"/kosmeticheskiy-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kosmeticheskiy-remont"
"стоимость косметического ремонта квартиры нижний новгород";"Косметический ремонт";"/kosmeticheskiy-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kosmeticheskiy-remont"
"капитальный ремонт квартиры нижний новгород";"Капитальный ремонт";"/kap-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kap-remont"
"капремонт квартиры нижний новгород";"Капитальный ремонт";"/kap-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kap-remont"
"капитальный ремонт под ключ нижний новгород";"Капитальный ремонт";"/kap-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kap-remont"
"капитальный ремонт цена за м2 нижний новгород";"Капитальный ремонт";"/kap-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kap-remont"
"ремонт квартиры с заменой электрики и сантехники нижний новгород";"Капитальный ремонт";"/kap-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kap-remont"
"стоимость капитального ремонта квартиры нижний новгород";"Капитальный ремонт";"/kap-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kap-remont"
"дизайнерский ремонт квартиры нижний новгород";"Ремонт по дизайн-проекту";"/elit-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/elit-remont"
"элитный ремонт квартир нижний новгород";"Ремонт по дизайн-проекту";"/elit-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/elit-remont"
"ремонт по дизайн проекту нижний новгород";"Ремонт по дизайн-проекту";"/elit-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/elit-remont"
"премиальный ремонт квартиры нижний новгород";"Ремонт по дизайн-проекту";"/elit-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/elit-remont"
"стоимость дизайнерского ремонта нижний новгород";"Ремонт по дизайн-проекту";"/elit-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/elit-remont"
"реализация дизайн проекта квартиры нижний новгород";"Ремонт по дизайн-проекту";"/elit-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/elit-remont"
"дизайн интерьера нижний новгород";"Дизайн интерьера";"/design";"commercial";"P1";"";"Кандидат; ручная группировка";"https://formularemonta52.ru/dizajn/"
"дизайн проект квартиры нижний новгород";"Дизайн интерьера";"/design";"commercial";"P1";"";"Кандидат; ручная группировка";"https://formularemonta52.ru/dizajn/"
"дизайн интерьера цена за м2 нижний новгород";"Дизайн интерьера";"/design";"commercial";"P1";"";"Кандидат; ручная группировка";"https://formularemonta52.ru/dizajn/"
"заказать дизайн проект квартиры нижний новгород";"Дизайн интерьера";"/design";"commercial";"P1";"";"Кандидат; ручная группировка";"https://formularemonta52.ru/dizajn/"
"планировочное решение квартиры нижний новгород";"Дизайн интерьера";"/design";"commercial";"P1";"";"Кандидат; ручная группировка";"https://formularemonta52.ru/dizajn/"
"рабочие чертежи для ремонта квартиры нижний новгород";"Дизайн интерьера";"/design";"commercial";"P1";"";"Кандидат; ручная группировка";"https://formularemonta52.ru/dizajn/"
"дизайн проект дома нижний новгород";"Дизайн интерьера";"/design";"commercial";"P1";"";"Кандидат; ручная группировка";"https://formularemonta52.ru/dizajn/"
"ремонт домов нижний новгород";"Ремонт домов";"/remont-domov";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/remont-domov"
"ремонт коттеджей нижний новгород";"Ремонт домов";"/remont-domov";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/remont-domov"
"внутренняя отделка дома нижний новгород";"Ремонт домов";"/remont-domov";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/remont-domov"
"ремонт загородного дома под ключ нижний новгород";"Ремонт домов";"/remont-domov";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/remont-domov"
"стоимость отделки коттеджа нижний новгород";"Ремонт домов";"/remont-domov";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/remont-domov"
"строительство коттеджей нижний новгород";"Строительство коттеджей";"/stroitelstvo-kottegey";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/stroitelstvo-kottegey"
"строительство дома под ключ нижний новгород";"Строительство коттеджей";"/stroitelstvo-kottegey";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/stroitelstvo-kottegey"
"строительство коттеджа цена нижний новгород";"Строительство коттеджей";"/stroitelstvo-kottegey";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/stroitelstvo-kottegey"
"стоимость строительства дома за м2 нижний новгород";"Строительство коттеджей";"/stroitelstvo-kottegey";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/stroitelstvo-kottegey"
"строительство загородного дома нижний новгород";"Строительство коттеджей";"/stroitelstvo-kottegey";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/stroitelstvo-kottegey"
"авторский надзор нижний новгород";"Авторский надзор";"/avtorski-nadzor";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/avtorski-nadzor"
"авторский надзор дизайнера нижний новгород";"Авторский надзор";"/avtorski-nadzor";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/avtorski-nadzor"
"стоимость авторского надзора нижний новгород";"Авторский надзор";"/avtorski-nadzor";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/avtorski-nadzor"
"сопровождение дизайн проекта нижний новгород";"Авторский надзор";"/avtorski-nadzor";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/avtorski-nadzor"
"авторский надзор за ремонтом квартиры нижний новгород";"Авторский надзор";"/avtorski-nadzor";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/avtorski-nadzor"
"умный дом нижний новгород";"Умный дом";"/smart-house";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/smart-house"
"установка умного дома нижний новгород";"Умный дом";"/smart-house";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/smart-house"
"умный дом квартира цена нижний новгород";"Умный дом";"/smart-house";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/smart-house"
"проектирование умного дома нижний новгород";"Умный дом";"/smart-house";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/smart-house"
"автоматизация квартиры нижний новгород";"Умный дом";"/smart-house";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/smart-house"
"умный дом для коттеджа нижний новгород";"Умный дом";"/smart-house";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/smart-house"
"мебель на заказ нижний новгород";"Мебель на заказ";"/mebel-na-zakaz";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/mebel-na-zakaz"
"встроенная мебель на заказ нижний новгород";"Мебель на заказ";"/mebel-na-zakaz";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/mebel-na-zakaz"
"кухня на заказ нижний новгород";"Мебель на заказ";"/mebel-na-zakaz";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/mebel-na-zakaz"
"шкаф на заказ нижний новгород";"Мебель на заказ";"/mebel-na-zakaz";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/mebel-na-zakaz"
"гардеробная на заказ нижний новгород";"Мебель на заказ";"/mebel-na-zakaz";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/mebel-na-zakaz"
"с чего начать ремонт квартиры";"Подготовка к ремонту";"/questions";"informational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/questions"
"как составляется смета на ремонт квартиры";"Подготовка к ремонту";"/questions";"informational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/questions"
"что входит в ремонт квартиры под ключ";"Подготовка к ремонту";"/questions";"informational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/questions"
"нужен ли дизайн проект для ремонта";"Подготовка к ремонту";"/questions";"informational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/questions"
"как принимать ремонт квартиры";"Подготовка к ремонту";"/questions";"informational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/questions"
"как оплачиваются материалы при ремонте";"Подготовка к ремонту";"/questions";"informational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/questions"
"чем авторский надзор отличается от технического";"Подготовка к ремонту";"/questions";"informational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/questions"
"бриллиант монолит портфолио";"Портфолио";"/case";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/case"
"бриллиант монолит проекты";"Портфолио";"/case";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/case"
"фото интерьеров бриллиант монолит";"Портфолио";"/case";"commercial";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/case"
"бриллиант монолит";"Компания";"/info";"navigational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/info"
"компания бриллиант монолит";"Компания";"/info";"navigational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/info"
"бриллиант монолит отзывы";"Компания";"/info";"navigational";"P2";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/info"
"бриллиант монолит контакты";"Контакты";"/contacts";"navigational";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/contacts"
"бриллиант монолит телефон";"Контакты";"/contacts";"navigational";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/contacts"
"бриллиант монолит адрес";"Контакты";"/contacts";"navigational";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/contacts"
